Date,Open,High,Low,Close,Adj Close,Volume
2021-12-17,0.467238,0.481135,0.437615,0.452415,0.452415,616466856
2021-12-18,0.453246,0.474414,0.438564,0.465630,0.465630,524108706
2021-12-19,0.464914,0.478573,0.441845,0.443757,0.443757,395736329
2021-12-20,0.444167,0.448924,0.409244,0.429337,0.429337,484767331
2021-12-21,0.430034,0.449082,0.425467,0.441276,0.441276,372193522
2021-12-22,0.441642,0.453893,0.431761,0.438024,0.438024,381293082
2021-12-23,0.437813,0.528027,0.429405,0.513183,0.513183,994814976
2021-12-24,0.512802,0.521786,0.466304,0.472095,0.472095,669132794
2021-12-25,0.472541,0.510333,0.469161,0.497559,0.497559,537898276
2021-12-26,0.497770,0.527844,0.482085,0.511446,0.511446,599555183
2021-12-27,0.511079,0.552785,0.508596,0.537678,0.537678,763832407
2021-12-28,0.536441,0.536441,0.460674,0.467485,0.467485,787114556
2021-12-29,0.466807,0.486992,0.443115,0.449511,0.449511,543767323
2021-12-30,0.449951,0.479930,0.441425,0.462480,0.462480,585839002
2021-12-31,0.462831,0.475008,0.444892,0.451456,0.451456,423091993
2022-01-01,0.451453,0.464407,0.450975,0.462435,0.462435,297618087
2022-01-02,0.461959,0.463241,0.452251,0.456982,0.456982,311869308
2022-01-03,0.456936,0.457918,0.433364,0.440966,0.440966,351663283
2022-01-04,0.440930,0.443451,0.424789,0.426218,0.426218,432488611
2022-01-05,0.426253,0.439788,0.349597,0.378937,0.378937,656831460
2022-01-06,0.378719,0.397904,0.357289,0.384696,0.384696,730328732
2022-01-07,0.384595,0.384595,0.339140,0.342779,0.342779,678485377
2022-01-08,0.342887,0.353813,0.307255,0.315207,0.315207,458266330
2022-01-09,0.315230,0.344824,0.312858,0.328057,0.328057,409921593
2022-01-10,0.328062,0.332292,0.293072,0.306594,0.306594,468035566
2022-01-11,0.306606,0.325008,0.303297,0.320523,0.320523,358504308
2022-01-12,0.320561,0.364845,0.320561,0.358586,0.358586,725641080
2022-01-13,0.358655,0.363616,0.325815,0.325850,0.325850,753507643
2022-01-14,0.326005,0.334672,0.318942,0.324368,0.324368,546509476
2022-01-15,0.324453,0.348771,0.322735,0.336715,0.336715,505920976
2022-01-16,0.336582,0.340129,0.324221,0.328187,0.328187,395663246
2022-01-17,0.328385,0.329351,0.300794,0.304445,0.304445,380858543
2022-01-18,0.304447,0.313253,0.291247,0.300070,0.300070,524249445
2022-01-19,0.300055,0.301351,0.275114,0.278318,0.278318,374283474
2022-01-20,0.278339,0.293937,0.260763,0.260763,0.260763,127523825
2022-01-21,0.261007,0.265356,0.205844,0.215656,0.215656,546982473
2022-01-22,0.215706,0.222103,0.157042,0.181293,0.181293,675722780
2022-01-23,0.181395,0.201016,0.179999,0.196520,0.196520,466942528
2022-01-24,0.196537,0.196537,0.161738,0.184660,0.184660,549416099
2022-01-25,0.184717,0.196138,0.175691,0.187187,0.187187,379146218
2022-01-26,0.187242,0.230330,0.185466,0.210329,0.210329,755664627
2022-01-27,0.210288,0.212873,0.179192,0.189250,0.189250,475754166
2022-01-28,0.189058,0.193253,0.180764,0.189423,0.189423,348024430
2022-01-29,0.189587,0.199737,0.188438,0.192008,0.192008,327630555
2022-01-30,0.192131,0.209813,0.187068,0.190034,0.190034,528539538
2022-01-31,0.190021,0.199759,0.181008,0.197982,0.197982,388383730
2022-02-01,0.197970,0.209567,0.196664,0.204796,0.204796,460971384
2022-02-02,0.205018,0.207086,0.183947,0.187463,0.187463,380183422
2022-02-03,0.187162,0.187226,0.179922,0.186711,0.186711,370078680
2022-02-04,0.186551,0.203738,0.185214,0.201793,0.201793,384477798
2022-02-05,0.201811,0.295447,0.201354,0.290779,0.290779,1751194709
2022-02-06,0.291412,0.355357,0.290257,0.320410,0.320410,2305633861
2022-02-07,0.319632,0.382515,0.303118,0.348380,0.348380,2116523384
2022-02-08,0.348539,0.380127,0.321844,0.380127,0.380127,1718633469
2022-02-09,0.380119,0.392785,0.353156,0.357714,0.357714,1425846640
2022-02-10,0.357738,0.369361,0.325923,0.327424,0.327424,1525745608
2022-02-11,0.327807,0.348025,0.302267,0.305628,0.305628,1233610179
2022-02-12,0.305741,0.320298,0.293668,0.309371,0.309371,1072406349
2022-02-13,0.309205,0.314939,0.277641,0.282406,0.282406,801124017
2022-02-14,0.282000,0.304819,0.276006,0.295648,0.295648,1082034530
2022-02-15,0.295268,0.357624,0.294799,0.354729,0.354729,1991310109
2022-02-16,0.354821,0.355684,0.323592,0.332592,0.332592,1385426186
2022-02-17,0.332277,0.339799,0.296794,0.300684,0.300684,1309352562
2022-02-18,0.301105,0.311742,0.288597,0.289855,0.289855,1132224846
2022-02-19,0.289800,0.301288,0.277411,0.281461,0.281461,794312359
2022-02-20,0.281407,0.281864,0.246390,0.250799,0.250799,1041266855
2022-02-21,0.250567,0.274519,0.223733,0.223987,0.223987,1463473909
2022-02-22,0.224008,0.243559,0.215799,0.242223,0.242223,1337780775
2022-02-23,0.242125,0.251009,0.217572,0.219097,0.219097,1302049574
2022-02-24,0.219179,0.239147,0.194069,0.228706,0.228706,2163942703
2022-02-25,0.228701,0.266384,0.226073,0.257904,0.257904,1787229327
2022-02-26,0.257965,0.267098,0.246548,0.248557,0.248557,1112345432
2022-02-27,0.248537,0.253170,0.230373,0.232092,0.232092,983494064
2022-02-28,0.232000,0.261016,0.224254,0.260359,0.260359,1215648009
2022-03-01,0.260444,0.275024,0.250404,0.257892,0.257892,1671150120
2022-03-02,0.257965,0.266877,0.250291,0.254492,0.254492,1180353082
2022-03-03,0.254502,0.259135,0.241684,0.243432,0.243432,788380762
2022-03-04,0.243486,0.243832,0.220182,0.222469,0.222469,788417323
2022-03-05,0.222597,0.232558,0.213915,0.231347,0.231347,546896952
2022-03-06,0.231428,0.236735,0.215923,0.216807,0.216807,604109494
2022-03-07,0.216537,0.228980,0.210390,0.215510,0.215510,720887645
2022-03-08,0.215482,0.230149,0.213993,0.219736,0.219736,740575947
2022-03-09,0.219766,0.238982,0.218671,0.233547,0.233547,776248477
2022-03-10,0.233408,0.233408,0.213524,0.217007,0.217007,582326786
2022-03-11,0.216992,0.222242,0.211045,0.211925,0.211925,536110299
2022-03-12,0.211944,0.218622,0.211713,0.214059,0.214059,355309661
2022-03-13,0.213994,0.241015,0.212509,0.217451,0.217451,1109473026
2022-03-14,0.217375,0.224191,0.214585,0.219624,0.219624,647847586
2022-03-15,0.219608,0.223104,0.213066,0.215202,0.215202,498174988
2022-03-16,0.215183,0.239644,0.214366,0.239292,0.239292,888995399
2022-03-17,0.239258,0.241181,0.225138,0.227332,0.227332,707580770
2022-03-18,0.227273,0.232508,0.218397,0.231066,0.231066,619380492
2022-03-19,0.230907,0.256891,0.227822,0.249314,0.249314,1038950985
2022-03-20,0.249258,0.255384,0.229862,0.233561,0.233561,817199631
2022-03-21,0.233587,0.238490,0.225350,0.235994,0.235994,714767026
2022-03-22,0.236066,0.254301,0.235724,0.241125,0.241125,988607595
2022-03-23,0.241135,0.251144,0.237045,0.249411,0.249411,833433163
2022-03-24,0.249459,0.259611,0.246553,0.252762,0.252762,1084186548
2022-03-25,0.252874,0.265550,0.243580,0.244954,0.244954,897538652
2022-03-26,0.245042,0.253583,0.243334,0.251500,0.251500,424454791
2022-03-27,0.251506,0.263771,0.246350,0.263366,0.263366,498283902
2022-03-28,0.263379,0.290052,0.261103,0.263187,0.263187,1136221840
2022-03-29,0.263023,0.281524,0.262706,0.271686,0.271686,842785593
2022-03-30,0.271638,0.283192,0.259268,0.271764,0.271764,753408184
2022-03-31,0.271734,0.285588,0.251455,0.253738,0.253738,851063397
2022-04-01,0.253983,0.266686,0.242078,0.261720,0.261720,755285380
2022-04-02,0.261715,0.276998,0.254957,0.255042,0.255042,646539673
2022-04-03,0.254951,0.268922,0.250861,0.265493,0.265493,460658625
2022-04-04,0.265552,0.266167,0.245609,0.256620,0.256620,476792910
2022-04-05,0.256658,0.262842,0.248313,0.248399,0.248399,429523711
2022-04-06,0.248362,0.248843,0.219322,0.219623,0.219623,604448012
2022-04-07,0.219691,0.231144,0.217188,0.228244,0.228244,376958310
